id;transcription;domain;intent;slots
2983;Xa non quero xogar máis, apaga todo, por favor;game;turn_off;
2984;Podes apagar a PlayStation?;game;turn_off;
2985;Desconecta a Xbox;game;turn_off;
2986;Xa xoguei dabondo, apaga un pouco a consola Nintendo Switch;game;turn_off;
2987;Apágalle a consola ao meu fillo;game;turn_off;
2988;Desconecta a videoconsola;game;turn_off;
2989;Faime o favor de desconectarlle a Play 5;game;turn_off;
2990;Apaga a Play;game;turn_off;
2991;Acende a Play, que toca xogar;game;turn_on;
2992;Acende a Xbox;game;turn_on;
2993;Acende a Nintendo ;game;turn_on;
2994;"Inicia o videoxogo ""El Conde Lucanor""";game;turn_on;
2995;Acende a consola e inicia o xogo Arcano;game;turn_on;
2996;Ponme O Misterio das Sete Pezas na videoconsola;game;turn_on;
2997;Quero xogar o PlanetBase, posmo?;game;turn_on;
2998;Acende e comeza unha partida en Catequesis;game;turn_on;
2999;Quero xogar ao xogo: As Enerxías Renovables;game;turn_on;
3000;Acéndeme aí a videoconsola, veña;game;turn_on;
3001;Para o xogo;game;pause;
3002;Pon o xogo en pausa;game;pause;
3003;Pausa o xogo un momento;game;pause;
3004;Pausa o xogo, que teño que coller unha chamada;game;pause;
3005;Estou canso, pon a PlayStation 5 en suspenso;game;pause;
3006;Pon o videoxogo en pausa;game;pause;
3007;Quero parar de xogar un pouco;game;pause;
3008;Quero pausar o videoxogo;game;pause;
3009;Párame un intre o videoxogo;game;pause;
3010;Para un anaco o xogo;game;pause;
3011;Continúa co xogo;game;continue;
3012;Retoma o PlanetBase;game;continue;
3013;Continúa co Misterio das Sete Pezas;game;continue;
3014;Retoma a partida na Play;game;continue;
3015;Continúa co xogo que parei;game;continue;
3016;Dálle lume ao xogo;game;continue;
3017;Dálle gas á videoconsola;game;continue;
3018;Continúa coa partida;game;continue;
3019;Retoma a partida, por favor;game;continue;
3020;Podes continuar coa partida que deixei parada?;game;continue;
3021;Cando é este ano a Reconquista de Vigo?;consultation;get_date;place
3022;Que día é o entroido de Xinzo de Limia?;consultation;get_date;place
3023;Cando é a Feira do Cocido de Lalín?;consultation;get_date;place
3024;Como cadra a Arribada este ano?;consultation;get_date;place
3025;Dime en que cadra este ano o Corpus Christi de Ponteareas;consultation;get_date;place
3026;Cando é a Rapa das Bestas de Sabucedo?;consultation;get_date;place
3027;Quero saber cando é o festival de Ortigueira;consultation;get_date;place
3028;Dime cando son as Festas do Apóstol en Santiago;consultation;get_date;place
3029;Que días son o entroido de Laza?;consultation;get_date;place
3030;Cando empeza o Arde Lucus?;consultation;get_date;place
3031;Que día comeza o entroido de Verín;consultation;get_date;place
3032;Quero saber como cadran este ano as Festas da Ascensión, por favor;consultation;get_date;place
3033;Que día comeza a Festa do Polbo en Carballiño?;consultation;get_date;place
3034;Dime que día empeza a Festa da Ostra en Arcade;consultation;get_date;place
3035;Cando é a Feira do Bonito de Burela?;consultation;get_date;place
3036;Que día remata a Festa do Carneiro ao Espeto de Moraña?;consultation;get_date;place
3037;Cando remata a Feira do Cocido en Lalín?;consultation;get_date;place
3038;Como cadra este ano o entroido de Laza?;consultation;get_date;place
3039;Cando se vai facer a Festa da Lamprea?;consultation;get_date;place
3040;Que día e a Maruxaina?;consultation;get_date;place
3041;Cando empeza a Romaría Viquinga de Catoira?;consultation;get_date;place
3042;Cando é a Festa Viquinga en Catoira?;consultation;get_date;place
3043;Dime cando é a Feira do Viño do Rosal;consultation;get_date;place
3044;Desde cando e ata cando son as Danzas Ancestrais de Darbo?;consultation;get_date;place
3045;Cando é a Festa do Marisco este ano?;consultation;get_date;place
3046;Que día é a Festa do Xamón na Cañiza?;consultation;get_date;place
3047;Cando son as festas de Bouzas?;consultation;get_date;place
3048;Cando é o Gran Premio de Carrilanas de Esteiro?;consultation;get_date;place
3049;Quero saber cando é o Albariño?;consultation;get_date;place
3050;Cando é o San Froilán?;consultation;get_date;place
3051;Dime que día empeza o entroido de Verín;consultation;get_date;place
3052;A Romaría da Nosa Señora da Barca, cando é?;consultation;get_date;place
3053;Como cadra o entroido de Cobres?;consultation;get_date;place
3054;Dime que día é a festa grande do entroido de Laza;consultation;get_date;place
3055;En que mes se celebra o Arde Lucus en Lugo?;consultation;get_date;place
3056;Cando se fai a Rapa das Bestas?;consultation;get_date;place
3057;Que día é a Festa do Caldo Galego de Mourente?;consultation;get_date;place
3058;Que día é este ano a Festa do Ourizo de Cervo?;consultation;get_date;place
3059;Quero saber a data da Festa dos Maios;consultation;get_date;place
3060;Que día é o entroido de verán de Redondela?;consultation;get_date;place
3061;Queremos saber como cadra a Festa do Pemento de Herbón en Padrón;consultation;get_place;place
3062;Onde é a Festa do Boi?;consultation;get_place;place
3063;Onde se fai a Feira Franca?;consultation;get_place;place
3064;Non sei onde se fai a Maruxaina;consultation;get_place;place
3065;Dime onde son as Festas de San Froilán;consultation;get_place;place
3066;Onde se fai a Festa da Troita?;consultation;get_place;place
3067;A Reconquista esta, onde se celebra?;consultation;get_place;place
3068;En que cidade se fai a Festa do Albariño?;consultation;get_place;place
3069;A Festa da Istoria, onde se fai?;consultation;get_place;place
3070;Onde se fan as feiras do viño en Galicia?;consultation;get_place;place
3071;Onde se fan as Festas do Monte?;consultation;get_place;place
3072;Dime onde se celebra a Festa da Castaña;consultation;get_place;place
3073;A Festa da Lamprea, onde se celebra?;consultation;get_place;place
3074;Onde é a Arribada?;consultation;get_place;place
3075;Quero saber onde se fai a Festa do Choco;consultation;get_place;place
3076;Dime onde ten lugar a Festa do Polbo;consultation;get_place;place
3077;Onde se fai a Rapa das Bestas?;consultation;get_place;place
3078;Onde se celebra a Festa do Albariño?;consultation;get_place;place
3079;Dime onde se fan as festas de Bouzas;consultation;get_place;place
3080;Onde se celebra San Xoán na Coruña?;consultation;get_place;place
3081;Como está hoxe o tráfico na A P nove dirección Coruña?;consultation;get_traffic;place, time
3082;Dime se hai algún incidente na miña ruta ao traballo;consultation;get_traffic;place, time
3083;Algunha incidencia na A P nove?;consultation;get_traffic;place, time
3084;Dime se hai algún accidente na entre Lugo e Santiago de Compostela;consultation;get_traffic;place, time
3085;Como está a estrada entre Porriño e Ourense?;consultation;get_traffic;place, time
3086;Hai moita conxestión hoxe para entrar na Coruña?;consultation;get_traffic;place, time
3087;Como está hoxe o tráfico para entrar en Vigo?;consultation;get_traffic;place, time
3088;Hai caravana para volver a Ourense?;consultation;get_traffic;place, time
3089;Hai moita retención para entrar no Grove?;consultation;get_traffic;place, time
3090;Quero ir ao Barco de Valdeorras desde Chantada, algunha incidencia?;consultation;get_traffic;place, time
3091;Hai retención dirección Baiona?;consultation;get_traffic;place, time
3092;Como está a estrada para subir ao Cebreiro;consultation;get_traffic;place, time
3093;Está cortada hoxe a A oito dirección Lugo?;consultation;get_traffic;place, time
3094;Hai moita néboa na A oito agora mesmo?;consultation;get_traffic;place, time
3095;Algún accidente na miña ruta para volver a casa?;consultation;get_traffic;place, time
3096;Dime se hai algunha incidencia na miña ruta a casa;consultation;get_traffic;place, time
3097;Dime se hai incidencias na ruta de Lugo á Coruña;consultation;get_traffic;place, time
3098;Hai caravana na vía rápida para ir a Bueu?;consultation;get_traffic;place, time
3099;Agora mesmo, hai tráfico entre Pontevedra e Vigo pola nacional?;consultation;get_traffic;place, time
3100;Fan falla cadeas para chegar á Gudiña nestes intres?;consultation;get_traffic;place, time
3101;Hoxe hai accidentes na estrada?;consultation;get_traffic;place, time
3102;Dime o estado da miña ruta;consultation;get_traffic;place, time
3103;Dime como está a miña ruta ao traballo;consultation;get_traffic;place, time
3104;Dime como está a miña ruta de volta a casa;consultation;get_traffic;place, time
3105;Hai incidencias na estrada de Coruña a Camariñas?;consultation;get_traffic;place, time
3106;Hai atasco na entrada de Porriño?;consultation;get_traffic;place, time
3107;Dime as incidencias nas estradas desta mañá;consultation;get_traffic;place, time
3108;Como está o tráfico na A P nove?;consultation;get_traffic;place, time
3109;Quero saber como está o tráfico na A P nove;consultation;get_traffic;place, time
3110;Hai algunha incidencia no acceso ás praias en Porto do Son?;consultation;get_traffic;place, time
3111;Como é o tráfico de Vigo a Nigrán nestes momentos?;consultation;get_traffic;place, time
3112;Actualízame sobre o tráfico nesta mañá;consultation;get_traffic;place, time
3113;Infórmame de como está o tráfico hoxe;consultation;get_traffic;place, time
3114;Hai algún accidente entre Santiago e Vigo pola A P nove?;consultation;get_traffic;place, time
3115;Como está o tramo da estrada entre Ourense e Verín?;consultation;get_traffic;place, time
3116;Dime como está o tráfico na nacional entre Lugo e Ourense;consultation;get_traffic;place, time
3117;Hai moito atasco agora mesmo?;consultation;get_traffic;place, time
3118;Como está hoxe o tráfico na cidade?;consultation;get_traffic;place, time
3119;Como está o tráfico na Coruña?;consultation;get_traffic;place, time
3120;Hai moito atasco para entrar a Santiago?;consultation;get_traffic;place, time
3121;Como está o tráfico esta tarde?;consultation;get_traffic;place, time
3122;Dime o estado do tráfico en Vigo;consultation;get_traffic;place, time
3123;Dime o estado do tráfico en Santiago de Compostela;consultation;get_traffic;place, time
3124;Quero saber como está de conxestionado o tráfico na Coruña;consultation;get_traffic;place, time
3125;Dime se hai tráfico en Ourense;consultation;get_traffic;place, time
3126;Como está o tráfico para chegar á praia?;consultation;get_traffic;place, time
3127;Hai moita retención de camiño ao Grove?;consultation;get_traffic;place, time
3128;Hai moito atasco para chegar a Ares?;consultation;get_traffic;place, time
3129;Dime se hai atasco na miña ruta diaria;consultation;get_traffic;place, time
3130;Dime o estado das estradas na Costa da Morte;consultation;get_traffic;place, time
3131;Resérvame un taxi para mañá ás doce e media;transportation;set_transportation;time, place
3132;Quero reservar un coche para o próximo luns;transportation;set_transportation;time, place
3133;Pódesme reservar un taxi para o xoves ás dúas da tarde?;transportation;set_transportation;time, place
3134;Quero que me recolla un taxi mañá ás nove en punto na miña casa;transportation;set_transportation;time, place
3135;Resérvame un taxi para que me recolla ás cinco da tarde no meu centro médico;transportation;set_transportation;time, place
3136;Esta semana teño que irlle ao médico, podes pedir que me recolla alguén o mércores as oito e corenta e cinco?;transportation;set_transportation;time, place
3137;Reserva un taxi para o venres ás once e cuarto na miña casa;transportation;set_transportation;time, place
3138;Fai a reserva dun taxi;transportation;set_transportation;time, place
3139;Quero que cadres para que alguén me recolla;transportation;set_transportation;time, place
3140;Podes facer a reserva dun coche para a miña casa?;transportation;set_transportation;time, place
3141;Quero que me reserves un taxi o mércores para ir ao centro médico;transportation;set_transportation;time, place
3142;Hai algún taxi dispoñible para ir agora ao centro?;transportation;set_transportation;time, place
3143;Quero que reserves un taxi que me recolla no concello ás oito da tarde;transportation;set_transportation;time, place
3144;Pídeme un taxi para ir mañá a Vigo ás doce e corenta e cinco;transportation;set_transportation;time, place
3145;Pódesme pedir un taxi para dentro de media hora?;transportation;set_transportation;time, place
3146;Resérvame un taxi para ir ao teatro esta noite;transportation;set_transportation;time, place
3147;Quero reservar un coche;transportation;set_transportation;time, place
3148;Quero reservar un taxi;transportation;set_transportation;time, place
3149;Quero facer a reserva dun taxi para o mércores dezasete;transportation;set_transportation;time, place
3150;Resérvame un taxi que me recolla ás oito e vinte para ir ao salón de peiteado;transportation;set_transportation;time, place
3151;Pódesme pedir un taxi para mañá ás catro na miña casa?;transportation;set_transportation;time, place
3152;Resérvame un taxi que me recolla hoxe ás tres e media no colexio;transportation;set_transportation;time, place
3153;Quero facer a reserva dun coche;transportation;set_transportation;time, place
3154;Podes pedir un coche que me recolla o luns ás dez para ir ao hospital?;transportation;set_transportation;time, place
3155;Quero reservar o transporte ao aeroporto, podes xestionalo?;transportation;set_transportation;time, place
3156;Faime a reserva dun coche para ir á estación de tren mañá ás seis da mañá;transportation;set_transportation;time, place
3157;Podes facer que me recolla un condutor mañá ás tres da tarde?;transportation;set_transportation;time, place
3158;Quero que fagas a reserva dun chofer para o mércores;transportation;set_transportation;time, place
3159;Faime unha reserva nos taxis;transportation;set_transportation;time, place
3160;Quero reservar un taxi para o domingo;transportation;set_transportation;time, place
3161;Reservar taxi;transportation;set_transportation;time, place
3162;Reservar coche ao hospital;transportation;set_transportation;time, place
3163;Quero que me reserves un taxi para martes trece, podes?;transportation;set_transportation;time, place
3164;Hai dispoñibilidade de taxis para mañá ás nove?;transportation;set_transportation;time, place
3165;Teño que ir mañá ao hospital, podes facer que me recolla o condutor?;transportation;set_transportation;time, place
3166;Quero que o chofer me recolla mañá ás sete e media;transportation;set_transportation;time, place
3167;Necesito que a condutora me recolla no concello ás doce, podes reservar o transporte?;transportation;set_transportation;time, place
3168;Quero que me recolla un coche o venres, ás cinco e media, para ir ao aeroporto de Santiago;transportation;set_transportation;time, place
3169;Podes reservar un taxi para ir mañá a recoller aos meus netos?;transportation;set_transportation;time, place
3170;Organiza unha nova viaxe ao hospital para mañá ás oito;transportation;set_transportation;time, place
3171;Quero que organices unha viaxe ao centro médico para o martes ás catro;transportation;set_transportation;time, place
3172;Quero organizar unha nova viaxe para o sábado seis de outubro ;transportation;set_transportation;time, place
3173;Organiza unha viaxe o próximo mércores once, ás dez da mañá, para ir á cita médica;transportation;set_transportation;time, place
3174;O mércores quero ir a Vigo, podes organizar que alguén me recolla?;transportation;set_transportation;time, place
3175;Organiza unha viaxe para o xoves vinte e oito ao hospital;transportation;set_transportation;time, place
3176;Organiza para que alguén me recolla o luns que vén ás sete;transportation;set_transportation;time, place
3177;Podes facer que me recolla a miña condutora o próximo martes a primeira hora?;transportation;set_transportation;time, place
3178;Organiza unha transporte para a estación de tren o xoves a medio día;transportation;set_transportation;time, place
3179;Quero que me recolla o meu chofer hoxe ás catro da tarde, pode?;transportation;set_transportation;time, place
3180;Reserva unha viaxe que me recolla no aeroporto ás cinco e cuarto;transportation;set_transportation;time, place
3181;Pide un taxi para o mércores vinte e sete na miña casa;transportation;set_transportation;time, place
3182;Pídesme un taxi?;transportation;set_transportation;time, place
3183;Podes pedirme un taxi?;transportation;set_transportation;time, place
3184;Quero pedir un taxi para dentro de dúas horas;transportation;set_transportation;time, place
3185;Quero que pidas un taxi para esta noite;transportation;set_transportation;time, place
3186;Pide un taxi para canto antes;transportation;set_transportation;time, place
3187;Chama e pide un taxi para que me recolla mañá a primeira hora;transportation;set_transportation;time, place
3188;Quero que me pidas un taxi para o sábado que vén;transportation;set_transportation;time, place
3189;Pódenos pedir un taxi para esta tarde?;transportation;set_transportation;time, place
3190;Pídeslle un taxi a miña nai para dentro dunha hora?;transportation;set_transportation;time, place
3191;Pídelle un taxi a meu pai para dentro de tres horas;transportation;set_transportation;time, place
3192;Quero un taxi en media hora;transportation;set_transportation;time, place
3193;Quero que me recolla o coche nunha hora;transportation;set_transportation;time, place
3194;Quero un taxi para as seis da tarde;transportation;set_transportation;time, place
3195;Quero un taxi para que me recolla na praza ás oito da tarde;transportation;set_transportation;time, place
3196;Reserva un taxi para hoxe ás tres e cuarto;transportation;set_transportation;time, place
3197;Pide un taxi para o domingo ir ao concerto;transportation;set_transportation;time, place
3198;Quero reservar un taxi para a volta do teatro;transportation;set_transportation;time, place
3199;Quero reservar un taxi para cando saia do concerto;transportation;set_transportation;time, place
3200;Reserva un taxi que me recolla no aeroporto, o día dez, ás once e media da mañá;transportation;set_transportation;time, place
3201;Mañá vou necesitar un taxi para as doce;transportation;set_transportation;time, place
3202;Teño que ir ao hospital, pídeme un taxi;transportation;set_transportation;time, place
3203;Necesito que lle fagas unha chamada á miña doutora;transportation;set_transportation;time, place
3204;Teño que estar na estación ás dez, pídeme un taxi canto antes;transportation;set_transportation;time, place
3205;Pídeme un taxi para estar en Santiago ao mediodía;transportation;set_transportation;time, place
3206;Quero que reserves un taxi;transportation;set_transportation;time, place
3207;Quero que fága-la reserva dun taxi;transportation;set_transportation;time, place
3208;Quero que fagas unha nova reserva de transporte;transportation;set_transportation;time, place
3209;Pódesme face-la reserva dun taxi para o xoves?;transportation;set_transportation;time, place
3210;Quero que reserves un taxi para o sábado trece de abril;transportation;set_transportation;time, place
3211;Reserva un taxi para que me recolla ás sete da tarde na miña casa;transportation;set_transportation;time, place
3212;Quero un taxi para o hospital mañá ás dez e cuarto;transportation;set_transportation;time, place
3213;Pídeme un taxi;transportation;set_transportation;time, place
3214;Pídeme un taxi para esta tarde;transportation;set_transportation;time, place
3215;Pídeme un taxi de ida e volta ao centro;transportation;set_transportation;time, place
3216;Pídeme un taxi de ida e volta ao hospital;transportation;set_transportation;time, place
3217;Quero un taxi de ida e volta á Coruña;transportation;set_transportation;time, place
3218;Pídeme un taxi para a volta do cine;transportation;set_transportation;time, place
3219;Quero que pidas un taxi para o venres á mañá;transportation;set_transportation;time, place
3220;Pide un taxi para mañá a primeira hora;transportation;set_transportation;time, place
3221;Para cando tiña reservado o taxi?;transportation;get_transportation;time, place
3222;Dime cando teño a reserva do coche;transportation;get_transportation;time, place
3223;A que hora chega o meu taxi?;transportation;get_transportation;time, place
3224;A que hora me recollen hoxe?;transportation;get_transportation;time, place
3225;Dime cando me recolle hoxe o transporte;transportation;get_transportation;time, place
3226;Xa non me lembro, a que hora reservei o taxi?;transportation;get_transportation;time, place
3227;Dime a que hora vén o taxista;transportation;get_transportation;time, place
3228;Para cando fixen a reserva para ir ao aeroporto?;transportation;get_transportation;time, place
3229;A que hora me recolle mañá o taxista?;transportation;get_transportation;time, place
3230;Dime a que hora teño reservado o taxi do próximo luns;transportation;get_transportation;time, place
3231;A que hora me vai recoller o condutor?;transportation;get_transportation;time, place
3232;Dime cando me recolle a condutora;transportation;get_transportation;time, place
3233;Que día teño reservada a viaxe en taxi?;transportation;get_transportation;time, place
3234;Que día reservei coa taxista?;transportation;get_transportation;time, place
3235;A que hora dixen que me recollera a condutora?;transportation;get_transportation;time, place
3236;Recórdame a que hora pedín o taxi mañá;transportation;get_transportation;time, place
3237;A que hora vén o taxi?;transportation;get_transportation;time, place
3238;Faime o favor de dicirme cando vén o condutor;transportation;get_transportation;time, place
3239;A que hora chegaba o meu chofer?;transportation;get_transportation;time, place
3240;A que hora vai chegar a taxista?;transportation;get_transportation;time, place
3241;Como vai o taxista?;transportation;get_transportation;time, place
3242;Que tal vai a taxista?;transportation;get_transportation;time, place
3243;A que hora vai chegar a reserva?;transportation;get_transportation;time, place
3244;Dime a que hora reservei o taxi de mañá;transportation;get_transportation;time, place
3245;Dime a hora á que reservei o taxi o sábado;transportation;get_transportation;time, place
3246;Que día reservei o taxi para o hospital?;transportation;get_transportation;time, place
3247;Dime que día reservei o coche para ir ao hospital;transportation;get_transportation;time, place
3248;Era hoxe o día no que tiña a reserva do taxi?;transportation;get_transportation;time, place
3249;A reserva para ir á Coruña, era para hoxe ou para mañá?;transportation;get_transportation;time, place
3250;Dime se teño algunha reserva de transporte programada;transportation;get_transportation;time, place
3251;O taxi para o hospital... a que hora chegaba?;transportation;get_transportation;time, place
3252;Recórdame a hora á que vai chegar o taxi;transportation;get_transportation;time, place
3253;Cando chega o taxi para ir ao aeroporto?;transportation;get_transportation;time, place
3254;Non recordo a que hora tiña reservada a viaxe;transportation;get_transportation;time, place
3255;Era para hoxe a reserva do taxi ao hospital?;transportation;get_transportation;time, place
3256;Dime os taxis que teño reservados;transportation;get_transportation;time, place
3257;Teño algunha reserva de transporte?;transportation;get_transportation;time, place
3258;Dime a que hora pedín o taxi;transportation;get_transportation;time, place
3259;Quero saber a que hora reservaches o taxi;transportation;get_transportation;time, place
3260;Dime a que hora reservaches o taxi;transportation;get_transportation;time, place
3261;Quero saber para cando reserváche-lo taxi ao hospital;transportation;get_transportation;time, place
3262;A que hora tiña hoxe eu o taxi?;transportation;get_transportation;time, place
3263;Cando me recolle a taxista?;transportation;get_transportation;time, place
3264;Cando me recolle mañá o condutor?;transportation;get_transportation;time, place
3265;Dime cando me vai recolle-lo condutor;transportation;get_transportation;time, place
3266;Teño reservado o taxi para o domingo?;transportation;get_transportation;time, place
3267;Xa reservei o condutor para mañá?;transportation;get_transportation;time, place
3268;Xa reservei o taxi para a semana que vén?;transportation;get_transportation;time, place
3269;Non me lembro de se reservei o taxi ou non;transportation;get_transportation;time, place
3270;Dime se teño algún taxi reservado;transportation;get_transportation;time, place
3271;Cancela o taxi que tiña para o xoves vinte e sete;transportation;cancel_transportation;time, place
3272;Cancela o taxi que teño mañá;transportation;cancel_transportation;time, place
3273;Cancela o coche que acabo de reservar;transportation;cancel_transportation;time, place
3274;Xa non necesito o taxi de mañá, cancélao;transportation;cancel_transportation;time, place
3275;Quero que canceles a reserva para ir á estación do martes;transportation;cancel_transportation;time, place
3276;Chama e cancela a reserva do taxi;transportation;cancel_transportation;time, place
3277;Faime o favor de eliminar a reserva para ir ao hospital;transportation;cancel_transportation;time, place
3278;Anula a reserva do taxi do mércores;transportation;cancel_transportation;time, place
3279;Xa non preciso o taxi hoxe;transportation;cancel_transportation;time, place
3280;Quero que canceles o taxi que reservei para o sábado;transportation;cancel_transportation;time, place
3281;Cancela a viaxe que tiña organizada para o doce de febreiro;transportation;cancel_transportation;time, place
3282;Cancela o condutor desta tarde;transportation;cancel_transportation;time, place
3283;Cancela á taxista, que ao final non podo;transportation;cancel_transportation;time, place
3284;Cancela a viaxe co taxista;transportation;cancel_transportation;time, place
3285;Cancela a viaxe que teño para esta tarde;transportation;cancel_transportation;time, place
3286;Anula a viaxe programada para mañá;transportation;cancel_transportation;time, place
3287;Cancela a viaxe programada para o mércores;transportation;cancel_transportation;time, place
3288;Quero que canceles a viaxe que programei para o venres;transportation;cancel_transportation;time, place
3289;Xa non necesito que veña o meu condutor;transportation;cancel_transportation;time, place
3290;Fala co chofer e dille que non é necesario que veña;transportation;cancel_transportation;time, place
3291;Chama e cancélalle ao taxista;transportation;cancel_transportation;time, place
3292;Dille á taxista que teño que cancelar a viaxe;transportation;cancel_transportation;time, place
3293;Anula a reserva de viaxe que tiña programada para o xoves;transportation;cancel_transportation;time, place
3294;Cancela a viaxe do próximo martes;transportation;cancel_transportation;time, place
3295;Anula a reserva de traslado ao aeroporto, por favor;transportation;cancel_transportation;time, place
3296;Cancela o traslado á estación de tren;transportation;cancel_transportation;time, place
3297;Cancela o traslado ao aeroporto;transportation;cancel_transportation;time, place
3298;Cancela o desprazamento ao hospital desta tarde;transportation;cancel_transportation;time, place
3299;Anula o desprazamento que teño programado;transportation;cancel_transportation;time, place
3300;Anula o desprazamento que tiña para o sábado desde Ourense;transportation;cancel_transportation;time, place
3301;Quero cancelar o taxi de mañá das doce;transportation;cancel_transportation;time, place
3302;Cancela o taxi do mércores, por favor;transportation;cancel_transportation;time, place
3303;Anula o taxi que tiña para mañá ás dez;transportation;cancel_transportation;time, place
3304;Podes cancelar o coche que me ía levar ao hospital;transportation;cancel_transportation;time, place
3305;Elimina a reserva do taxi do martes;transportation;cancel_transportation;time, place
3306;A reserva do taxi que me ía levar ao aeroporto... podes eliminala?;transportation;cancel_transportation;time, place
3307;Cancela a reserva que acabo de facer;transportation;cancel_transportation;time, place
3308;Cancela o taxi que acabo de pedir;transportation;cancel_transportation;time, place
3309;Anula a viaxe que acabo de programar;transportation;cancel_transportation;time, place
3310;Cancela as viaxes que teña programadas;transportation;cancel_transportation;time, place
3311;Quero que canceles a viaxe que programei fai un intre;transportation;cancel_transportation;time, place
3312;Cancélame a viaxe que acabo de programar;transportation;cancel_transportation;time, place
3313;Xa non preciso que me recolla o condutor mañá;transportation;cancel_transportation;time, place
3314;Xa non preciso ao taxista, que vén miña neta a buscarme;transportation;cancel_transportation;time, place
3315;Xa non é necesario a viaxe programada, que me recolle o meu fillo;transportation;cancel_transportation;time, place
3316;Cancela a viaxe de mañá, que non me atopo ben;transportation;cancel_transportation;time, place
3317;Cancela a viaxe desta tarde;transportation;cancel_transportation;time, place
3318;Quero que anules a viaxe desta tarde;transportation;cancel_transportation;time, place
3319;Anula a viaxe de mañá, podes?;transportation;cancel_transportation;time, place
3320;Quero que cancéle-la viaxe programada para mañá;transportation;cancel_transportation;time, place
3321;Que é a chave tres seis cinco?;chavetres seis cinco;what_is_chavetres seis cinco;
3322;Para que serve a chave tres seis cinco?;chavetres seis cinco;what_is_chavetres seis cinco;
3323;Non sei que é isto da chave tres seis cinco, pódesmo explicar?;chavetres seis cinco;what_is_chavetres seis cinco;
3324;Podes dicirme que é a chave tres seis cinco?;chavetres seis cinco;what_is_chavetres seis cinco;
3325;Que se pode facer coa chave tres seis cinco?;chavetres seis cinco;what_is_chavetres seis cinco;
3326;Pódesme dar información sobre a chave?;chavetres seis cinco;what_is_chavetres seis cinco;
3327;Que teño que facer para utilizar a chave?;chavetres seis cinco;operation;
3328;Como emprego a chave tres seis cinco?;chavetres seis cinco;operation;
3329;Podes explicarme como uso a chave tres seis cinco?;chavetres seis cinco;operation;
3330;Cal é o modo de emprego?;chavetres seis cinco;operation;
3331;Como fago para asinar documentos coa chave tres seis cinco?;chavetres seis cinco;operation;
3332;Gustaríame saber como utilizar a chave tres seis cinco;chavetres seis cinco;operation;
3333;Onde podo utilizala?;chavetres seis cinco;domains;
3334;Pódesnos explicar onde podemos utilizar a chave esta?;chavetres seis cinco;domains;
3335;En que páxinas podo utilizar a chave?;chavetres seis cinco;domains;
3336;Onde podo empregar a chave tres seis cinco?;chavetres seis cinco;domains;
3337;Amósame os sitios nos que se pode asinar coa chave;chavetres seis cinco;domains;
3338;Faime o favor de dicirme onde podo usar a chave esta, por favor;chavetres seis cinco;domains;
3339;Quero saber que preciso para darme de alta en chave tres seis cinco;chavetres seis cinco;requirements;
3340;Cales son os requisitos para obter a chave?;chavetres seis cinco;requirements;
3341;Quero darme de alta en chave tres seis cinco;chavetres seis cinco;requirements;
3342;Sería tan amable de explicarme como me podo dar de alta?;chavetres seis cinco;requirements;
3343;Necesito axuda co proceso de alta en chave tres seis cinco;chavetres seis cinco;requirements;
3344;Que necesito para obtela?;chavetres seis cinco;requirements;
3345;En que sitios podo sacala?;chavetres seis cinco;f2f_locations;
3346;Podo achegarme a unha oficina para darme de alta?;chavetres seis cinco;f2f_locations;
3347;Onde podo sacar a chave tres seis cinco?;chavetres seis cinco;f2f_locations;
3348;Dime as oficinas onde podo facer a chave, por favor;chavetres seis cinco;f2f_locations;
3349;Sabes cales son as oficinas nas que podo obter a chave esta?;chavetres seis cinco;f2f_locations;
3350;En que lugar se pode un dar de alta?;chavetres seis cinco;f2f_locations;
3351;Cal é a validez da chave?;chavetres seis cinco;duration;
3352;Que duración ten chave tres seis cinco?;chavetres seis cinco;duration;
3353;Ten algún período máximo de tempo?;chavetres seis cinco;duration;
3354;Cada canto tempo se terá que renovar?;chavetres seis cinco;duration;
3355;Sabes canto tempo dura a chave tres seis cinco?;chavetres seis cinco;duration;
3356;Durante canto tempo é valida?;chavetres seis cinco;duration;
3357;Quero darme de baixa en chave tres seis cinco;chavetres seis cinco;cancel_chavetres seis cinco;
3358;Como fago para borrar a chave?;chavetres seis cinco;cancel_chavetres seis cinco;
3359;Non sei como eliminar a miña chave;chavetres seis cinco;cancel_chavetres seis cinco;
3360;Podes indicarme onde podemos darnos de baixa?;chavetres seis cinco;cancel_chavetres seis cinco;
3361;Non vou utilizar máis a chave esta, quero que borres os meus datos;chavetres seis cinco;cancel_chavetres seis cinco;
3362;Gustaríame cancelar a miña chave tres seis cinco;chavetres seis cinco;cancel_chavetres seis cinco;
3363;Como podo modificar os datos da chave?;chavetres seis cinco;modify_data;
3364;Sabes se podo cambiar os meus datos?;chavetres seis cinco;modify_data;
3365;Non sei como trocar os datos da chave tres seis cinco;chavetres seis cinco;modify_data;
3366;Onde se pode facer unha emenda sobre os datos de chave?;chavetres seis cinco;modify_data;
3367;Quero corrixir datos da miña chave;chavetres seis cinco;modify_data;
3368;Equivoqueime ao cumprimentar o formulario e gustaríame modificar os datos;chavetres seis cinco;modify_data;
3369;Quero saber como modificar o contrasinal de chave tres seis cinco;chavetres seis cinco;modify_password;
